a,b,c,d
200,4,1100,541
200,4,1200,564
200,4,1300,586
200,4,1400,608
200,4,1500,631
200,4,1600,653
200,4,1700,675
200,4,1800,697
200,4,1900,720
200,4,2000,742
200,5,50,267
200,5,60,273
200,5,70,279
200,5,80,286
200,5,90,292
200,5,100,298
200,5,150,323
200,5,200,348
200,5,250,373
200,5,300,398
200,5,350,420
200,5,400,443
200,5,450,465
200,5,500,487
200,5,550,508
200,5,600,528
200,5,650,549
200,5,700,569
200,5,750,590
200,5,800,610
200,5,850,631
200,5,900,651
200,5,950,672
200,5,1000,692
200,5,1100,728
200,5,1200,763
200,5,1300,799
200,5,1400,834
200,5,1500,870
200,5,1600,906
200,5,1700,941
200,5,1800,977
200,5,1900,1012
200,5,2000,1048
200,6,50,284
200,6,60,293
200,6,70,302
200,6,80,310
200,6,90,319
200,6,100,328
200,6,150,364
200,6,200,400
200,6,250,435
200,6,300,471
200,6,350,505
200,6,400,539
200,6,450,572
200,6,500,606
200,6,550,636
200,6,600,666
200,6,650,696
200,6,700,726
200,6,750,757
200,6,800,787
200,6,850,817
200,6,900,847
200,6,950,877
200,6,1000,907
200,6,1100,961
200,6,1200,1015
200,6,1300,1069
200,6,1400,1123
200,6,1500,1177
200,6,1600,1231
200,6,1700,1285
200,6,1800,1339
200,6,1900,1393
200,6,2000,1447
250,2,50,279
250,2,60,281
250,2,70,283
250,2,80,285
250,2,90,287
250,2,100,289
250,2,150,293
250,2,200,298
250,2,250,302
250,2,300,306
250,2,350,310
250,2,400,313
250,2,450,317
250,2,500,320
250,2,550,323
250,2,600,326
250,2,650,329
250,2,700,332
250,2,750,335
250,2,800,337
250,2,850,340
250,2,900,343
250,2,950,346
250,2,1000,349
250,2,1100,354
250,2,1200,359
250,2,1300,364
250,2,1400,369
250,2,1500,374
250,2,1600,378
250,2,1700,383
250,2,1800,388
250,2,1900,393
250,2,2000,398
250,3,50,288
250,3,60,291
250,3,70,294
250,3,80,298
250,3,90,301
250,3,100,304
250,3,150,313
250,3,200,323
250,3,250,332
250,3,300,341
250,3,350,349
250,3,400,356
250,3,450,364
250,3,500,371
250,3,550,378
250,3,600,385
250,3,650,392
250,3,700,399
250,3,750,406
250,3,800,412
250,3,850,419
250,3,900,426
250,3,950,433
250,3,1000,440
250,3,1100,452
250,3,1200,464
250,3,1300,476
250,3,1400,488
250,3,1500,500
250,3,1600,512
250,3,1700,524
250,3,1800,536
250,3,1900,548
250,3,2000,560
250,4,50,301
250,4,60,305
250,4,70,310
250,4,80,314
250,4,90,319
250,4,100,323
250,4,150,339
250,4,200,355
250,4,250,370
250,4,300,386
250,4,350,400
250,4,400,414
250,4,450,428
250,4,500,442
250,4,550,455
250,4,600,467
250,4,650,480
250,4,700,492
250,4,750,505
250,4,800,517
250,4,850,530
250,4,900,542
250,4,950,555
250,4,1000,567
250,4,1100,590
250,4,1200,612
250,4,1300,635
250,4,1400,657
250,4,1500,680
250,4,1600,703
250,4,1700,725
250,4,1800,748
250,4,1900,770
250,4,2000,793
250,5,50,313
250,5,60,320
250,5,70,327
250,5,80,333
250,5,90,340
250,5,100,347
250,5,150,372
250,5,200,396
250,5,250,421
250,5,300,445
250,5,350,468
250,5,400,491
250,5,450,513
250,5,500,536
250,5,550,557
250,5,600,577
250,5,650,598
250,5,700,618
250,5,750,639
250,5,800,660
250,5,850,680
250,5,900,701
250,5,950,721
250,5,1000,742
250,5,1100,778
250,5,1200,813
250,5,1300,849
250,5,1400,884
250,5,1500,920
250,5,1600,956
250,5,1700,991
250,5,1800,1027
250,5,1900,1062
250,5,2000,1098
250,6,50,331
250,6,60,340
250,6,70,349
250,6,80,357
250,6,90,366
250,6,100,375
250,6,150,412
250,6,200,448
250,6,250,485
250,6,300,521
250,6,350,555
250,6,400,588
250,6,450,622
250,6,500,655
250,6,550,685
250,6,600,715
250,6,650,745
250,6,700,775
250,6,750,806
250,6,800,836
250,6,850,866
250,6,900,896
250,6,950,926
250,6,1000,956
250,6,1100,1010
250,6,1200,1064
250,6,1300,1118
250,6,1400,1172
250,6,1500,1227
250,6,1600,1281
250,6,1700,1335
250,6,1800,1389
250,6,1900,1443
250,6,2000,1497
300,2,50,326
300,2,60,328
300,2,70,330
300,2,80,333
300,2,90,335
300,2,100,337
300,2,150,342
300,2,200,346
300,2,250,351
300,2,300,355
300,2,350,359
300,2,400,363
300,2,450,366
300,2,500,370
300,2,550,373
300,2,600,376
300,2,650,378
300,2,700,381
300,2,750,384
300,2,800,387
300,2,850,390
300,2,900,392
300,2,950,395
300,2,1000,398
300,2,1100,403
300,2,1200,408
300,2,1300,413
300,2,1400,418
300,2,1500,423
300,2,1600,427
300,2,1700,432
300,2,1800,437
300,2,1900,442
300,2,2000,447
300,3,50,336
300,3,60,339
300,3,70,342
300,3,80,346
300,3,90,349
300,3,100,352
300,3,150,361
300,3,200,371
300,3,250,380
300,3,300,389
300,3,350,397
300,3,400,405
300,3,450,412
300,3,500,420
300,3,550,427
300,3,600,434
300,3,650,441
300,3,700,448
300,3,750,455
300,3,800,461
300,3,850,468
300,3,900,475
300,3,950,482
300,3,1000,489
300,3,1100,501
300,3,1200,513
300,3,1300,525
300,3,1400,537
300,3,1500,549
300,3,1600,561
300,3,1700,573
300,3,1800,585
300,3,1900,597
300,3,2000,609
300,4,50,347
300,4,60,352
300,4,70,357
300,4,80,361
300,4,90,366
300,4,100,371
300,4,150,387
300,4,200,403
300,4,250,419
300,4,300,435
300,4,350,449
300,4,400,463
300,4,450,477
300,4,500,491
300,4,550,504
300,4,600,516
300,4,650,529
300,4,700,541
300,4,750,554
300,4,800,567
300,4,850,579
300,4,900,592
300,4,950,604
300,4,1000,617
300,4,1100,639
300,4,1200,661
300,4,1300,683
300,4,1400,705
300,4,1500,727
300,4,1600,748
300,4,1700,770
300,4,1800,792
300,4,1900,814
300,4,2000,836
300,5,50,360
300,5,60,367
300,5,70,374
300,5,80,380
300,5,90,387
300,5,100,394
300,5,150,419
300,5,200,444
300,5,250,469
300,5,300,494
300,5,350,517
300,5,400,539
300,5,450,562
300,5,500,584
300,5,550,605
300,5,600,626
300,5,650,648
300,5,700,669
300,5,750,690
300,5,800,711
300,5,850,732
300,5,900,754
300,5,950,775
300,5,1000,796
300,5,1100,831
300,5,1200,866
300,5,1300,901
300,5,1400,936
300,5,1500,972
300,5,1600,1007
300,5,1700,1042
300,5,1800,1077
300,5,1900,1112
300,5,2000,1147
300,6,50,377
300,6,60,386
300,6,70,395
300,6,80,405
300,6,90,414
300,6,100,423
300,6,150,460
300,6,200,496
300,6,250,533
300,6,300,569
300,6,350,603
300,6,400,637
300,6,450,670
300,6,500,704
300,6,550,734
300,6,600,764
300,6,650,795
300,6,700,825
300,6,750,855
300,6,800,885
300,6,850,915
300,6,900,946
300,6,950,976
300,6,1000,1006
300,6,1100,1060
300,6,1200,1115
300,6,1300,1169
300,6,1400,1223
300,6,1500,1278
300,6,1600,1332
300,6,1700,1386
300,6,1800,1440
300,6,1900,1495
300,6,2000,1549
